name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 17674 b,Confirmed,,0.06,0.07,0.87,0.06,0.07,,,,623.8,1.5,1.6,1.42,0.05,0.04,0,0,0.13,,,,,2017,27-02-2017,,,,2455904.8,3,3,,,,,,,,,,,,,,,,,,,21.1,0.5,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 17674,42.76791667,30.28675001,7.56,,,,,44.5,0.8,0.8,-0.16,0.02,0.02,0.98,0.1,0.1,1.18,0.1,0.1,G0V,8.4,0.6,0.6,5904,22,22,,,"SAO 55940, 2MASS J02510426+3017124"
HD 176986 b,Confirmed,,0.0021,0.0021,0.0181,0.0021,0.0021,,,,6.4898,0.00086,0.00086,0.06296,0.00013,0.00013,0.066,0.066,0.066,,,,,2017,05-12-2017,249,91,91,2455502.9,1.7,1.7,,,,,,,,,,,,,,,,,,,2.56,0.24,0.24,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 176986,285.775,-11.0438889,8.45,,,,,26.4,0.7,0.7,0.03,0.05,0.05,0.789,0.019,0.019,0.782,0.035,0.035,K2.5V,4.3,4,4,4931,77,77,,,
HD 176986 c,Confirmed,,0.0031,0.0031,0.0289,0.0031,0.0031,,,,16.8191,0.0044,0.0044,0.11878,0.00025,0.00025,0.111,0.08,0.08,,,,,2017,07-12-2017,270,130,130,2455514.4,4.3,4.3,,,,,,,,,,,,,,,,,,,2.63,0.27,0.27,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 176986,285.775,-11.0438889,8.45,,,,,26.4,0.7,0.7,0.03,0.05,0.05,0.789,0.019,0.019,0.782,0.035,0.035,K2.5V,4.3,4,4,4931,77,77,,,
HD 177830 Ab,Confirmed,,0.03,0.03,1.49,0.03,0.03,,,,406.6,0.4,0.4,1.2218,0.0008,0.0008,0.009,0.004,0.004,,,,0.020708,1999,28-07-2024,85,31,31,10154,35,35,,,,,,,,,,,,,,,,,,,31.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 177830 b,,HD 177830 A,286.3333333,25.9205556,7.18,,,,,59,2.8,2.8,0.55,0.03,0.03,1.47,,,2.99,0.39,0.39,K0IV,4.4,2.2,2.2,4948,,,,,HD 177830
HD 177830 Ac,Confirmed,,0.03,0.03,0.15,0.03,0.03,,,,110.9,0.3,0.3,0.5137,0.0006,0.0006,0.3495,0.0002,0.0002,,,,0.008707,2010,28-07-2024,110,2,2,10179,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 177830 c,,HD 177830 A,286.3333333,25.9205556,7.18,,,,,59,2.8,2.8,0.55,0.03,0.03,1.47,,,2.99,0.39,0.39,K0IV,4.4,2.2,2.2,4948,,,,,HD 177830
HD 178911 Bb,Confirmed,,0.059,0.059,6.292,0.059,0.059,,,,71.487,0.018,0.018,0.32,,,0.1243,0.0075,0.0075,,,,0.006848,2001,29-07-2024,169.8,3.6,3.6,50305.7,0.62,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 178911 B,287.2625,34.5997222,7.98,,,,,46.73,,,0.28,0.08,0.08,1.07,,,1.14,,,G5V,5.2,,,5650,80,80,Imaging,,
HD 179079 b,Confirmed,,0.012,0.012,0.076,0.012,0.012,,,,14.4708,0.0035,0.01,0.1214,0.007,0.0064,0.115,0.087,0.087,,,,0.001727,2009,06-03-2020,357,62,62,2454400.5,2.4,2.4,,,,,,,,,,,,,,,,,,,5.84,0.66,0.63,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,,HD 179079,287.7916667,-2.6383333,7.95,,,,,63.69,,,0.29,0.04,0.04,1.087,0.1,0.1,1.48,,,G5IV,,,,5724,44,44,,,
HD 179949 b,Confirmed,,,,0.92,,,1.05,,,3.0925,3.00E-05,3.00E-05,0.045,0.001,0.001,0.0104,0.0099,0.0104,,,,0.001667,2000,09-04-2024,189.3,63.4,63.4,2452419.1,,,,,,,,,,,,,,,,,,,,,112.62,1.77,1.77,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",HD 179949,288.8875,-24.1791667,6.25,,,,,27,,,0.22,0.05,0.05,1.28,,,1.19,,,F8 V,2.05,,,6260,43,43,,,
HD 180053 b,Confirmed,,0.063,0.063,2.194,0.063,0.063,1.203,,,213.72,0.47,0.47,,,,,,,,,,,2013,20-12-2018,,,,,,,,,,,,,,,,,,,,,,,,,51.5,1.4,1.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 180053,288.4,34.91444447,7.9,,,,,126.3,,,,,,1.75,,,4.06,,,K0,2.3,0.2,0.2,5130,,,,,
HD 18015 Ab,Confirmed,,0.23,0.23,3.18,0.23,0.23,1.17,,,2278,71,71,3.87,0.32,0.32,0.148,0.06,0.06,,,,,2018,01-08-2024,265,29,29,2454730,170,170,,,,,,,,,,,,,,,,,,,38,2.7,2.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 18015 A,43.36336,-8.84802,7.9,,,,,,,,,,,1.49,,,3.13,,,G6IV,,,,5599,,,,,
HD 180902 b,Confirmed,,0.41,0.41,1.685,0.41,0.41,1.221,,,510.9,1.5,1.5,1.4,0.11,0.11,0.107,0.022,0.022,,,,0.012636,2010,21-12-2018,181,12,12,2455055,17,17,,,,,,,,,,,,,,,,,,,34.25,0.84,0.84,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,,,HD 180902,289.82379,-23.55816,7.78,,,,,110,10,10,0.04,0.03,0.03,1.41,0.11,0.11,4.16,0.1,0.1,K0III/IV,2.8,0.7,0.7,4961,44,44,,,
HD 181234 Ab,Confirmed,9.379,0.993,1.01,8.37,0.36,0.36,,,,7593.4,121.8,113.6,7.427,0.34,0.304,0.726,0.01,0.01,98.732,41.61,24.466,,2019,11-02-2025,95.367,2.643,2.558,2457668.7,5,5.5,,,,,,,,,,,,,,,,,,,126.925,1.555,1.577,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,,,,HD 181234 A,290,-9.323611123,8.59,,7.15,6.87,6.69,47.84,0.1,0.1,0.32,0.05,0.05,1.01,0.06,0.06,1.05,0.07,0.07,G5V,6.32,2.58,2.58,5386,60,60,,,NSN 145 A
HD 181342 b,Confirmed,,0.19,0.19,2.54,0.19,0.19,1.19,,,564.1,4.1,4.1,1.592,0.091,0.091,0.022,0.051,0.051,,,,0.016094,2010,30-12-2018,290,110,110,2461090,220,220,,,,,,,,,,,,,,,,,,,44.1,3.3,3.3,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Theoretical,HIP 95124 b,,HD 181342,290.2666667,-23.6194444,7.55,,,,,110.6,7.5,7.5,0.26,0.03,0.03,1.69,0.13,0.13,4.71,0.1,0.1,K0III,1.8,0.4,0.4,4945,44,44,,,
HD 181433 b,Confirmed,,0.0003,0.0003,0.0223,0.0003,0.0003,,,,9.3745,0.0002,0.0002,0.0801,0.0001,0.0001,0.336,0.014,0.014,,,,0.003059,2008,14-06-2019,210.4,2.5,2.5,2452939.16,0.06,0.06,,,,,,,,,,,,,,,,,,,2.7,0.1,0.1,,,,,,,,,,Announced on a professional conference,Radial Velocity,Radial Velocity,,,,HD 181433,291.2916667,-66.4688889,8.38,,6.66,6.24,6.09,26.15,1,1,0.33,0.13,0.13,0.78,,,,,,K3IV,,,,4962,134,134,,,
HD 181433 c,Confirmed,,0.003,0.003,0.674,0.003,0.003,,,,1014.5,0.6,0.6,1.819,0.001,0.001,0.235,0.003,0.003,,,,0.067304,2008,14-06-2019,8.6,0.7,0.7,2452184.3,1.9,1.9,,,,,,,,,,,,,,,,,,,16.55,0.07,0.07,,,,,,,,,,Announced on a professional conference,Radial Velocity,Radial Velocity,,,,HD 181433,291.2916667,-66.4688889,8.38,,6.66,6.24,6.09,26.15,1,1,0.33,0.13,0.13,0.78,,,,,,K3IV,,,,4962,134,134,,,
HD 181433 d,Confirmed,,0.004,0.004,0.612,0.004,0.004,,,,7012,276,276,6.6,0.22,0.22,0.469,0.013,0.013,,,,0.114723,2008,14-06-2019,241.4,2.4,2.4,2446915,239,239,,,,,,,,,,,,,,,,,,,8.7,0.1,0.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 181433,291.2916667,-66.4688889,8.38,,6.66,6.24,6.09,26.15,1,1,0.33,0.13,0.13,0.78,,,,,,K3IV,,,,4962,134,134,,,
HD 18143 Ab,Confirmed,,0.007,0.005,0.034,0.007,0.005,,,,10.3,0.003,0.002,0.088,0.004,0.003,0.224,0.122,0.171,,,,,2022,28-07-2024,60.123,73.038,87.534,,,,,,,,,,,,,,,,,,,,,,3.614,0.655,0.563,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 18143 A,43.91274758,26.87321524,7.68,,5.95,5.548,5.427,22.5243,0.023,0.023,,,,0.85,0.103,0.103,0.894,0.0555,0.0555,K0V,,,,5078,127.982,127.982,,,"GJ 9105 A, LDS 883 A, STF 326 A"
HD 18143 Ac,Confirmed,9.998,1.871,1.961,,,,,,,28982.4,7978.2,18264.6,17.53,3.447,6.587,0.194,0.097,0.021,35.98,1.948,2.853,,2022,28-07-2024,313.318,26.019,23.219,,,,,,,,,,,,,,,,,,,,,,43.943,4.749,4.234,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,,,HD 18143 A,43.91274758,26.87321524,7.68,,5.95,5.548,5.427,22.5243,0.023,0.023,,,,0.85,0.103,0.103,0.894,0.0555,0.0555,K0V,,,,5078,127.982,127.982,,,"GJ 9105 A, LDS 883 A, STF 326 A"
HD 181720 b,Confirmed,12.12,5.88,inf,0.37,,,,,,956,14,14,1.78,,,0.26,0.06,0.06,1.75,1.65,1.65,0.031786,2009,10-07-2014,177,12,12,2453631,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 181720,290.7208333,-32.9191667,7.86,,,,,56,4,4,-0.53,0.02,0.02,0.92,,,,,,G1V,,,,5781,18,18,,,
HD 183263 Ab,Confirmed,,0.3,0.3,3.67,0.3,0.3,,,,626.5,1.1,1.1,1.51,0.087,0.087,0.357,0.09,0.09,,,,0.028491,2004,11-02-2025,233.5,2.3,2.3,54343.12,0.31,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 183263 A,292.1,8.3577778,7.86,,,,,53,,,0.3,,,1.17,,,1.21,,,G2IV,8.1,,,5888,,,,,
HD 183263 Ac,Confirmed,,0.59,0.59,3.82,0.59,0.59,,,,2950,340,340,4.25,0.47,0.47,0.253,0.076,0.076,,,,0.080189,2008,11-02-2025,339.6,9.1,9.1,11910,120,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 183263 A,292.1,8.3577778,7.86,,,,,53,,,0.3,,,1.17,,,1.21,,,G2IV,8.1,,,5888,,,,,
HD 183579 b,Confirmed,0.0302,0.132,0.0142,,,,0.3149,0.0098,0.0116,17.471278,6.00E-05,6.00E-05,0.1334,0.0062,0.0062,0.28,0.28,0,89.33,0.4,0.4,,2021,22-02-2023,,,,,,,,,,,,,,,,,,,0.32,0.2,0.2,,,,2.3,1,1,769,13,17,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1055 b,,HD 183579,293.2875,-54.53250002,8.7,,,,,57.06,0.25,0.25,-0.023,0.05,0.05,1.031,0.026,0.026,0.985,0.026,0.037,G5V,,,,5788,44,44,,,TOI-1055
HD 184010 b,Confirmed,,0.07,0.07,0.3,0.07,0.07,,,,484.4,3.5,5.5,0.937,0.003,0.003,0.037,0.012,0.28,,,,,2022,21-09-2022,122.6,246,15,2454729.7,72,43,,,,,,,,,,,,,,,,,,,7.7,1,0.8,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 184010,292.8416667,26.61722224,5.9,,,,,61.37,,,-0.17,0.1,0.1,1.35,0.2,0.2,4.86,0.49,0.55,K0III-IV D,2.76,0.95,2.24,4971,,,,,
HD 184010 c,Confirmed,,0.1,0.1,0.28,0.1,0.1,,,,483.3,4,3.2,1.332,0.007,0.007,0.19,0.134,0.24,,,,,2022,21-09-2022,270.7,13.3,99.3,2454540.6,3,474,,,,,,,,,,,,,,,,,,,6.21,2.1,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 184010,292.8416667,26.61722224,5.9,,,,,61.37,,,-0.17,0.1,0.1,1.35,0.2,0.2,4.86,0.49,0.55,K0III-IV D,2.76,0.95,2.24,4971,,,,,
HD 184010 d,Confirmed,,0.08,0.08,0.46,0.08,0.08,,,,837.7,5.5,6.4,1.922,0.008,0.01,0.25,0.17,0.26,,,,,2022,21-09-2022,270.7,42,14.6,2454509.6,,,,,,,,,,,,,,,,,,,,,8.73,1.7,1.73,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 184010,292.8416667,26.61722224,5.9,,,,,61.37,,,-0.17,0.1,0.1,1.35,0.2,0.2,4.86,0.49,0.55,K0III-IV D,2.76,0.95,2.24,4971,,,,,
HD 185269 Ab,Confirmed,,,,0.94,,,,,,6.838,0.001,0.001,0.077,,,0.3,0.04,0.04,,,,0.001638,2006,28-07-2024,173,6.8,6.8,2453154.1,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 185269 b,,HD 185269 A,294.3,28.5,6.67,,,,,47,1,1,0.11,0.05,0.05,1.28,0.1,0.1,1.88,0.1,0.1,G0IV,4.2,,,5980,50,50,,,HD 185269
HD 185283 Ab,Confirmed,1.3,0.1,0.3,,,,,,,4000,112,148,4.6,0.1,0.2,0.07,0.05,0.05,91,31,31,,2023,28-03-2025,281,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 185283 A,295.325,-56.32194446,9,,,,,31.32,0.02,0.02,-0.06,0.07,0.07,0.79,0.0964,0.0964,0.743,0.0635,0.0635,K3V,6.9,4.7,4.7,4848,158.7,158.7,,,
HD 187085 b,Confirmed,,,,0.75,,,,,,986,,,2.05,,,0.47,,,,,,0.045576,2006,21-12-2010,94,,,2450912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 187085,297.3875,-37.7805556,7.22,,,,,44.98,1.3,1.3,0.05,0.03,0.03,1.22,0.1,0.1,,,,G0 V,3.3,1.2,1.2,6075,30,30,IR Excess,,
HD 187123 b,Confirmed,1.4,0.3,0.5,0.52,0.04,0.04,,,,3.0965828,7.80E-06,7.80E-06,0.0426,0.0025,0.0025,0.01,0.006,0.006,21,5,5,0.000852,1998,27-10-2024,25,,,52111.7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,,H2O,HD 187123,296.7375,34.4208333,7.86,,,,,50,,,0.16,,,1.06,,,1.17,,,G5,5.33,,,5714,,,,,
HD 187123 c,Confirmed,,0.25,0.25,1.99,0.25,0.25,,,,3810,420,420,4.89,0.53,0.53,0.252,0.033,0.033,,,,0.0978,2007,17-05-2023,250,170,170,53580.04,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a professional conference,Radial Velocity,,,,,HD 187123,296.7375,34.4208333,7.86,,,,,50,,,0.16,,,1.06,,,1.17,,,G5,5.33,,,5714,,,,,
HD 18742 b,Confirmed,,1.2,1.2,3.4,1.2,1.2,1.166,,,766,25,25,1.82,0.14,0.14,0.04,0.035,0.035,,,,0.014222,2011,21-12-2018,190,74,74,2455280,140,140,,,,,,,,,,,,,,,,,,,61,22,22,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,,HD 18742,45.0444,-20.80261,7.81,,,,,135,14,14,-0.04,0.03,0.03,1.36,0.11,0.11,5.13,0.1,0.1,G8/K0,2.3,0.5,0.5,4940,44,44,,,
HD 188015 Ab,Confirmed,,,,1.26,,,,,,456.46,9.12,9.12,1.19,,,0.15,0.09,0.09,,,,0.022624,2004,02-08-2024,293,35.7,35.7,2451883.51,53.37,53.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 188015 A,298.0166667,28.1002778,8.22,,,,,52.6,,,0.29,,,1.09,,,1.1,,,G5IV,6.2,2.32,2.32,5520,,,,,
HD 189567 b,Confirmed,,0.0019,0.0019,0.0267,0.0019,0.0019,,,,14.288,0.002,0.002,0.111,0.002,0.002,0.189,0.189,0,,,,0.006209,2011,24-08-2021,,,,2455509,3,3,,,,,,,,,,,,,,,,,,,2.53,0.18,0.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 189567,301.3875,-67.3208333,6.07,,,,,17.7,0.13,0.13,,,,,,,,,,G2V,,,,,,,,,
HD 189567 c,Confirmed,,0.0028,0.0028,0.022,0.0028,0.0028,,,,33.688,0.025,0.025,0.197,0.003,0.003,0.16,0.09,0.09,,,,,2021,24-08-2021,219,58,58,2455502,5,5,,,,,,,,,,,,,,,,,,,1.6,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 189567,301.3875,-67.3208333,6.07,,,,,17.7,0.13,0.13,,,,,,,,,,G2V,,,,,,,,,
HD 189733 Ab,Confirmed,1.138,0.025,0.025,1.15,,,1.138,0.077,0.077,2.219,,,0.031,,,0,,,85.51,0.05,0.05,0.001628,2005,29-07-2024,,,,2454037.612,,,,,,2453988.803,0.00024,0.00024,,,,,,,,,,,,,205,,,,,,,,0.4,0.11,0.12,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-4470.01,"C, Ca, CH4, CO, CO2, Fe I, H, H2O, H2S, HCN, He, K, Na, NH3, O, O I, Sc, Ti+",HD 189733 A,300.1791667,22.7108333,7.67,,,,,19.3,0.2,0.2,-0.03,0.04,0.04,0.8,0.4,0.4,0.805,0.016,0.016,K1.5V,0.6,,,4875,43,43,,Yes,"V452 Vul, TOI-4470"
HD 190007 b,Confirmed,,0.00522,0.00522,0.05179,0.00522,0.00522,,,,11.72,0.001,0.001,0.092,0.0008,0.0008,0.14,0.07,0.07,,,,,2020,26-06-2021,254.64,109.93,109.93,,,,,,,,,,,,,,,,,,,,,,5.64,0.55,0.55,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"2MASS J20024703+0319344 b, BD+02 4076 b, GJ 775 b, HIP 98698 b, IRAS 20002+0310 b, LSPM J2002+0319 b, SAO 125379 b, TIC 345217789 b, TYC 0498-02720-1 b, V1654 Aql b, WISE J200246.98+031935.5 b",,HD 190007,300.696014,3.326188,,6.253,5.476,4.956,,12.72,0.01,0.01,0.16,0.05,0.05,0.77,0.02,0.02,0.79,0.04,0.04,K3/4 V,1,,,4610,20,20,,,"2MASS J20024703+0319344, BD+02 4076, GJ 775, HIP 98698, IRAS 20002+0310, LSPM J2002+0319, SAO 125379, TIC 345217789, TYC 0498-02720-1, V1654 Aql, WISE J200246.98+031935.5"
HD 190228 b,Confirmed,6,1,1.2,5,1,1,,,,1145.7715,1.825,1.9345,2.293,0.031,0.031,0.547,0.011,0.01,48,10,16,0.030253,2002,28-10-2024,107,3.2,3.2,1236,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Astrometry,,,,HD 190228,300.75,28.3066667,7.3,,,,,66.11,,,-0.24,,,1.3,,,3.02,0.33,0.33,G5IV,10.16,,,5176,,,,,
HD 190622 b,Confirmed,0.0242,0.003,0.003,,,,0.27541,0.00473,0.00517,15.507612,3.80E-05,3.80E-05,0.1236,0.002,0.002,0.055,0.038,0.046,89,0.24,0.44,,2023,12-05-2023,35,150,99,,,,,,,2458664.972,0.0015,0.0015,,,,,,,0.37,0.18,0.11,,,,1.92,0.25,0.25,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1054 b,,HD 190622,302.114174,-54.3175036,8.9,,,,,88.74,,,-0.185,,,1.044,,,1.205,,,F,5.3,,,6088,,,,,TOI-1054
HD 190622 c,Confirmed,,0.0211,0.0211,0.714,0.0211,0.0211,,,,315.7,0.95,0.95,0.921,0.015,0.015,0.081,0.019,0.019,,,,,2023,12-05-2023,1,12,12,2458950.9,3.2,3.2,,,,,,,,,,,,,,,,,,,20.79,0.28,0.28,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-1054 c,,HD 190622,302.114174,-54.3175036,8.9,,,,,88.74,,,-0.185,,,1.044,,,1.205,,,F,5.3,,,6088,,,,,TOI-1054
HD 190647 b,Confirmed,,0.06,0.06,1.9,0.06,0.06,,,,1038.1,4.9,4.9,2.07,0.06,0.06,0.18,0.02,0.02,,,,0.038192,2007,30-08-2014,232.5,9.4,9.4,2453869,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 190647,301.8333333,-35.5386111,7.78,,,,,54.2,3.4,3.4,0.24,0.03,0.03,1.1,0.1,0.1,,,,G5,2,0,200,5628,20,20,,,
HD 190984 b,Confirmed,,,,3.1,,,,,,4885,,,5.5,,,0.57,0.1,0.1,,,,0.053398,2009,05-11-2010,318,5,5,2449572,1600,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 190984,302.8791667,-64.6205556,8.76,,,,,103,21,21,-0.48,0.06,0.06,0.91,,,1.53,,,F8V,,,,5988,25,25,,,
HD 191806 b,Confirmed,,0.63,0.63,8.52,0.63,0.63,,,,1606.3,7.2,7.2,2.8,0.1,0.1,0.259,0.017,0.017,,,,,2016,29-04-2016,,,,2455014,18,18,,,,,,,,,,,,,,,,,,,140.5,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 191806,302.3679167,52.27633057,8.093,,,,,,,,0.3,0.02,0.02,1.14,0.12,0.12,,,,,2.9,0.4,0.4,6010,30,30,,,
HD 191939 b,Confirmed,0.031,0.0022,0.0022,,,,0.303,0.071,0.071,8.88029,2.00E-05,2.00E-05,0.078,0.004,0.004,0,,,88.06,0.08,0.08,,2020,12-09-2024,,,,,,,,,,2458715.356,0.0004,0.0004,,,,3.7,5,5,0.62,0.02,0.02,,,,3.8,0.3,0.3,893,36,36,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1339 b,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,
HD 191939 c,Confirmed,0.0227,0.0044,0.0044,,,,0.2748,0.062,0.062,28.5805,0.0002,0.0002,0.17,0.002,0.002,0,,,89.09,0.03,0.03,,2020,02-06-2023,,,,,,,,,,2458726.053,0.0006,0.0006,,,,,,,0.63,0.02,0.02,,,,1.8,0.3,0.3,605,24,24,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1339 c,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,
HD 191939 d,Confirmed,0.0182,0.0182,0,,,,0.2712,0.0062,0.0062,38.3525,0.0003,0.0003,0.207,0.003,0.003,0,,,89.43,0.04,0.04,,2020,02-06-2023,,,,,,,,,,2458743.552,0.0007,0.0007,,,,,,,0.438,0.088,0.074,,,,0.6,0.3,0.3,549,22,22,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-1339 d,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,
HD 191939 e,Confirmed,,0.009,0.009,0.34,0.009,0.009,,,,101.5,0.4,0.4,0.397,0.005,0.005,0,,,,,,,2021,02-06-2023,,,,2459043.6,0.3,0.3,,,,,,,,,,,,,,,,,,,17.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-1339 e,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,
HD 191939 f,Confirmed,,4.5,4.5,6.5,4.5,4.5,,,,4450,2750,2750,4.8,2.2,2.2,,,,,,,,2022,02-06-2023,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-1339 f,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,
HD 191939 g,Confirmed,,0.006,0.006,0.0488,0.006,0.006,,,,284,10,10,0.812,0.028,0.028,0.03,0.011,0.025,,,,,2022,02-06-2023,18,65,65,2459385,13,13,,,,,,,,,,,,,,,,,,,1.53,0.23,0.23,278,6,6,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,TOI-1339 g,,HD 191939,302.025,66.8502778,9,,,,,53.608,0.073,0.073,-0.16,0.08,0.08,0.81,0.04,0.04,0.945,0.021,0.021,G8V,7,3,3,5427,50,50,,,
HD 192263 b,Confirmed,,0.015,0.015,0.733,0.015,0.015,,,,24.3587,0.0022,0.0022,0.15312,0.00095,0.00095,0.008,0.014,0.014,,,,0.007694,1999,22-08-2014,184,90,90,2451796.9,6.8,6.8,,,,2450986.74,21,21,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,HD 192263,303.5,-0.8669444,7.79,,,,,19.9,,,-0.2,,,0.81,,,0.75,,,K2 V,0.57,,,4965,,,IR Excess,,
