name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-399 d,Confirmed,,,,,,,0.169,0.09,0.09,58.034616,0.000363,0.000363,0.261,,,,,,,,,,2014,05-02-2021,,,,,,,2454971.733,0.00419,0.00419,,,,,,,,,,0.19,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19580041+4040148 d, K02707.01, KIC 5480640 d, KOI-2707 d, KOI-2707.01, WISE J195800.41+404014.5  d",,Kepler-399,299.501738,40.670806,,,13.175,12.779,12.698,1362.18,199.6,199.6,-0.827,,,,,,0.68,0.36,0.36,,,,,5502,200,200,,,"2MASS J19580041+4040148, KIC 5480640, KOI-2707, WISE J195800.41+404014.5"
Kepler-400 Ab,Confirmed,,,,,,,0.147,0.027,0.027,9.024389,3.40E-05,3.40E-05,0.087,,,,,,,,,,2014,25-02-2025,,,,,,,2454966.538,0.00239,0.00239,,,,,,,,,,0.01,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234667+4028481 b, K02711.01, KIC 5272233 b, KOI-2711 b, KOI-2711.01, WISE J192346.67+402848.0  b",,Kepler-400 A,290.944481,40.480035,,,12.566,12.289,12.296,709,54.5,75.95,0.009,,,,,,1.15,0.21,0.21,F7V,,,,6258,100,100,,,"2MASS J19234667+4028481, KIC 5272233, KOI-2711, WISE J192346.67+402848.0"
Kepler-400 Ac,Confirmed,,,,,,,0.133,0.025,0.025,17.340824,0.0001,0.0001,0.134,,,,,,,,,,2014,25-02-2025,,,,,,,2454971.967,0.00419,0.00419,,,,,,,,,,0.17,0.21,0.21,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19234667+4028481 c, K02711.02, KIC 5272233 c, KOI-2711 c, KOI-2711.02, WISE J192346.67+402848.0  c",,Kepler-400 A,290.944481,40.480035,,,12.566,12.289,12.296,709,54.5,75.95,0.009,,,,,,1.15,0.21,0.21,F7V,,,,6258,100,100,,,"2MASS J19234667+4028481, KIC 5272233, KOI-2711, WISE J192346.67+402848.0"
Kepler-401 b,Confirmed,,,,,,,0.153,0.036,0.036,14.383035,0.000211,0.000211,0.122,,,,,,,,,,2014,05-02-2021,,,,,,,2454973.56,0.01006,0.01006,,,,,,,,,,0.54,0.25,0.25,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19201985+5051485 b, K02714.01, KIC 12206313 b, KOI-2714 b, KOI-2714.01, WISE J192019.85+505148.4  b",,Kepler-401,290.082749,50.863483,,,12.277,12.065,11.987,993.14,17.37,17.37,-0.297,,,,,,1.33,0.24,0.24,,,,,6117,100,100,,,"2MASS J19201985+5051485, KIC 12206313, KOI-2714, WISE J192019.85+505148.4"
Kepler-401 c,Confirmed,,,,,,,0.192,0.036,0.036,47.318218,0.000695,0.000695,0.269,,,,,,,,,,2014,05-02-2021,,,,,,,2455003.06,0.00897,0.00897,,,,,,,,,,0.24,0.22,0.22,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19201985+5051485 c, K02714.02, KIC 12206313 c, KOI-2714 c, KOI-2714.02, WISE J192019.85+505148.4  c",,Kepler-401,290.082749,50.863483,,,12.277,12.065,11.987,993.14,17.37,17.37,-0.297,,,,,,1.33,0.24,0.24,,,,,6117,100,100,,,"2MASS J19201985+5051485, KIC 12206313, KOI-2714, WISE J192019.85+505148.4"
Kepler-401 d,Confirmed,,,,,,,0.203,0.023,0.036,184.256405,0.00317,0.00317,,,,,,,,,,,2016,05-02-2021,,,,,,,2455088.258,0.0133,0.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19201985+5051485 d, K02714.03, KIC 12206313 d, KOI-2714 d, KOI-2714.03, WISE J192019.85+505148.4 d",,Kepler-401,290.082749,50.863483,,,12.277,12.065,11.987,993.14,17.37,17.37,-0.297,,,,,,1.33,0.24,0.24,,,,,6117,100,100,,,"2MASS J19201985+5051485, KIC 12206313, KOI-2714, WISE J192019.85+505148.4"
Kepler-402 b,Confirmed,,,,,,,0.109,0.021,0.021,4.028751,1.90E-05,1.90E-05,0.051,,,,,,,,,,2014,05-02-2021,,,,,,,2454966.769,0.0031,0.0031,,,,,,,,,,0.06,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19132885+4321165 b, K02722.03, KIC 7673192 b, KOI-2722 b, KOI-2722.03, WISE J191328.84+432116.5  b",,Kepler-402,288.370225,43.35461,,,12.303,12.082,11.993,636.78,7.51,7.51,-0.22,,,,,,1.26,0.24,0.24,,,,,6090,120,120,,,"2MASS J19132885+4321165, KIC 7673192, KOI-2722, WISE J191328.84+432116.5"
Kepler-402 c,Confirmed,,,,,,,0.139,0.031,0.031,6.124821,2.60E-05,2.60E-05,0.068,,,,,,,,,,2014,05-02-2021,,,,,,,2454967.936,0.00285,0.00285,,,,,,,,,,0.59,0.25,0.25,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19132885+4321165 c, K02722.01, KIC 7673192 c, KOI-2722 c, KOI-2722.01, WISE J191328.84+432116.5  c",,Kepler-402,288.370225,43.35461,,,12.303,12.082,11.993,636.78,7.51,7.51,-0.22,,,,,,1.26,0.24,0.24,,,,,6090,120,120,,,"2MASS J19132885+4321165, KIC 7673192, KOI-2722, WISE J191328.84+432116.5"
Kepler-402 d,Confirmed,,,,,,,0.123,0.024,0.024,8.921099,5.60E-05,5.60E-05,0.087,,,,,,,,,,2014,05-02-2021,,,,,,,2454970.491,0.00423,0.00423,,,,,,,,,,0.11,0.23,0.23,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19132885+4321165 d, K02722.04, KIC 7673192 d, KOI-2722 d, KOI-2722.04, WISE J191328.84+432116.5  d",,Kepler-402,288.370225,43.35461,,,12.303,12.082,11.993,636.78,7.51,7.51,-0.22,,,,,,1.26,0.24,0.24,,,,,6090,120,120,,,"2MASS J19132885+4321165, KIC 7673192, KOI-2722, WISE J191328.84+432116.5"
Kepler-402 e,Confirmed,,,,,,,0.13,0.026,0.026,11.242861,5.90E-05,5.90E-05,0.102,,,,,,,,,,2014,05-02-2021,,,,,,,2454969.317,0.00355,0.00355,,,,,,,,,,0.21,0.24,0.24,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,"2MASS J19132885+4321165 e, K02722.02, KIC 7673192 e, KOI-2722 e, KOI-2722.02, WISE J191328.84+432116.5  e",,Kepler-402,288.370225,43.35461,,,12.303,12.082,11.993,636.78,7.51,7.51,-0.22,,,,,,1.26,0.24,0.24,,,,,6090,120,120,,,"2MASS J19132885+4321165, KIC 7673192, KOI-2722, WISE J191328.84+432116.5"
