mass,mass_error_min,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,updated_year,updated_month,updated_day,updated_hour,updated_dayofweek,updated_is_weekend
12.5,1.5,1.9,0.2,0.05,0.178,0.009,0.009,2.5,1e-05,1e-05,230.0,20.0,20.0,0.0,0.03,0.0,89.95,0.2,0.5,3.7,2016,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,339.1041667,47.86194447,12.5,7.96,13.391,13.527,12.826,63.0,1.0,1.0,0.0,0.1,0.1,0.6,0.05,0.05,0.86,0.02,0.02,0.12,0.01,0.01,5770.0,100.0,100.0,2024,7,17,0,2,False
0.8,0.5,4.51,0.5,0.5,0.178,0.009,0.009,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,89.95,0.2,0.5,2e-05,2016,90.0,30.0,40.0,2457375.59,3.0,11.0,2454965.287,0.001,0.002,2455490.2,177.3,177.3,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,193.2964895,-3.553099291,6.11,7.96,13.391,13.527,12.826,39.4,1.0,1.0,0.07,0.1,0.1,1.18,0.12,0.12,1.45,0.07,0.07,1.9,0.7,0.6,6557.0,96.0,96.0,2017,2,20,0,0,False
0.8,1.0,6.3,1.0,1.0,0.178,0.009,0.009,610.2,3.8,3.8,1.6,0.1,0.1,0.28,0.12,0.12,89.95,0.2,0.5,2e-05,2017,92.06,17.25,17.25,2455602.4,24.0,24.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,120.0,9.0,9.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,196.7958333,27.62472224,4.9,7.96,13.391,13.527,12.826,102.0,2.5,2.5,0.13,0.08,0.08,1.49,0.18,0.18,25.11,1.2,1.2,3.24,1.2,1.2,4181.0,40.0,40.0,2024,8,1,0,3,False
0.8,0.85,12.11,0.85,0.2,0.178,0.009,0.009,785.74,4.77,4.8,2.16,0.06,0.02,0.11,0.06,0.06,89.95,0.2,0.5,2e-05,2020,135.6,45.6,40.66,2453560.34,90.8,98.9,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,158.74,8.62,8.55,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,163.3935503,54.58512741,5.12,7.96,13.391,13.527,12.826,200.4,12.43,14.19,-0.21,0.1,0.1,2.19,0.43,0.1,45.12,2.32,1.97,1.05,0.18,0.5,4215.0,13.0,13.0,2020,10,26,0,0,False
0.8,0.06,2.53,0.06,0.07,0.178,0.009,0.009,1078.0,2.0,2.0,2.1,0.02,0.02,0.032,0.014,0.014,89.95,0.2,0.5,0.150322,1996,334.0,23.0,23.0,2451917.0,76.0,63.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,164.8708333,40.4294444,5.1,7.96,13.391,13.527,12.826,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,7.4,1.9,1.9,5892.0,70.0,70.0,2024,7,20,0,5,True
0.8,0.073,0.54,0.073,0.066,0.178,0.009,0.009,2391.0,87.0,100.0,3.6,0.1,0.1,0.098,0.096,0.047,89.95,0.2,0.5,0.257695,2001,295.0,160.0,114.0,2456441.0,825.0,628.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,164.8708333,40.4294444,5.1,7.96,13.391,13.527,12.826,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,7.4,1.9,1.9,5892.0,70.0,70.0,2024,7,20,0,5,True
0.8,0.48,1.64,0.48,0.29,0.178,0.009,0.009,14002.0,5095.0,4018.0,11.6,2.9,2.1,0.16,0.16,0.09,89.95,0.2,0.5,0.830351,2010,110.0,160.0,132.0,2451736.0,5051.0,6783.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,164.8708333,40.4294444,5.1,7.96,13.391,13.527,12.826,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,7.4,1.9,1.9,5892.0,70.0,70.0,2024,7,20,0,5,True
4.1,0.5,1.9,0.2,0.05,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,2e-05,2015,84.0,58.0,58.0,2452014.79,12.0,12.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,2.7,1.0,1.0,700.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.5,69.40055143,-2.473548598,5.223,7.96,13.391,13.527,12.826,29.4,0.3,0.3,-0.027,0.1,0.1,1.75,0.05,0.05,0.86,0.02,0.02,0.02,0.006,0.006,5770.0,100.0,100.0,2025,3,25,0,1,False
0.47,0.07,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.73e-05,3.73e-05,0.052,0.001,0.001,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,54.1,72.3,72.3,2450404.4,3.0,11.0,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,2497.0,0.022,0.022,55.65,0.53,0.53,1000.0,20.0,10.0,1050.0,69.0,0.5,0.03,0.03,3.36,344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,4.0,2.5,2.5,5758.0,110.623,110.623,2024,9,1,0,6,True
0.23,0.013,0.228,0.011,0.011,0.178,0.009,0.009,62.25,0.004,0.004,0.295,0.029,0.029,0.645,0.002,0.002,83.0,56.0,56.0,0.025818,2003,243.0,3.0,3.0,2453932.6,0.6,0.6,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,16.6,0.6,0.6,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,9.8375,21.2502778,5.8,7.96,13.391,13.527,12.826,11.0,1.0,1.0,0.05,0.05,0.05,0.79,0.04,0.04,0.947,0.032,0.032,5.13,4.0,1.0,5173.0,100.0,100.0,2024,5,28,0,1,False
0.84,0.031,0.84,0.031,0.131,0.178,0.009,0.009,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,110.0,54.0,54.0,2453035.0,2.2,2.2,2454965.287,0.001,0.002,2454964.609,0.001,0.001,2454717.65,0.0007,0.00041,8.0,11.0,11.0,0.41,0.23,0.23,0.35,0.1,0.1,71.47,0.21,0.21,1000.0,20.0,10.0,1050.0,69.0,0.16,0.03,0.03,3.36,133.1492129,28.33082083,5.95,7.96,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,10.2,2.5,2.5,5250.0,147.574,147.574,2024,6,19,0,2,False
